Country/Region,Region,Measure,Avg_Value,Date Range
Andorra,Europe,Population 15-64,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Population 65+,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Population Total,76684.0769230769,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Population Urban,0.897461538461538,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Tourism Inbound,,Data between 2000 and 2012 for Andorra in Europe.
Andorra,Europe,Tourism Outbound,,Data between 2000 and 2012 for Andorra in Europe.
Angola,Africa,Birth Rate,4.83076923076923e-02,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Business Tax Rate,0.521,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,CO2 Emissions,19202.0909090909,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Days to Start Business,92.9,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Ease of Business,178,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Energy Usage,10295.75,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,GDP,50462024315,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Health Exp % GDP,4.16923076923077e-02,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Health Exp/Capita,104.538461538462,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Hours to do Tax,275.75,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Infant Mortality Rate,0.118153846153846,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Internet Usage,4.60769230769231e-02,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Lending Interest,0.512307692307692,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Life Expectancy Female,50.1538461538462,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Life Expectancy Male,47.3846153846154,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Mobile Phone Usage,0.235615384615385,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Population 0-14,0.477538461538462,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Population 15-64,0.498153846153846,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Population 65+,2.44615384615385e-02,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Population Total,17212724.3076923,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Population Urban,0.369846153846154,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Tourism Inbound,279384615.384615,Data between 2000 and 2012 for Angola in Africa.
Angola,Africa,Tourism Outbound,232384615.384615,Data between 2000 and 2012 for Angola in Africa.
Antigua and Barbuda,The Americas,Birth Rate,1.83846153846154e-02,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Business Tax Rate,0.444375,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,CO2 Emissions,418.090909090909,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Days to Start Business,22.25,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Ease of Business,66,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Energy Usage,140.25,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,GDP,1043836787.23077,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Health Exp % GDP,4.63076923076923e-02,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Health Exp/Capita,576.076923076923,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Hours to do Tax,198.375,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Infant Mortality Rate,1.04615384615385e-02,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Internet Usage,0.307230769230769,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Lending Interest,0.111769230769231,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Life Expectancy Female,77.0769230769231,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Life Expectancy Male,72.1538461538462,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Mobile Phone Usage,1.11676923076923,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Population 0-14,0.276769230769231,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Population 15-64,0.651307692307692,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Population 65+,7.18461538461538e-02,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Population Total,83523.3846153846,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Population Urban,0.286307692307692,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Tourism Inbound,308083333.333333,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Antigua and Barbuda,The Americas,Tourism Outbound,43333333.3333333,Data between 2000 and 2012 for Antigua and Barbuda in The Americas.
Argentina,The Americas,Birth Rate,1.76153846153846e-02,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Business Tax Rate,1.07625,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,CO2 Emissions,159280.545454545,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Days to Start Business,31.8,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Ease of Business,121,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Energy Usage,68870.1666666667,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,GDP,335230769230.769,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Health Exp % GDP,8.49230769230769e-02,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Health Exp/Capita,587.615384615385,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Hours to do Tax,442.25,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Infant Mortality Rate,0.015,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Internet Usage,0.256923076923077,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Lending Interest,0.166384615384615,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Life Expectancy Female,78.7692307692308,Data between 2000 and 2012 for Argentina in The Americas.
Argentina,The Americas,Life Expectancy Male,71.2307692307692,Data between 2000 and 2012 for Argentina in The Americas.
